Fuel Type,Region Code,Region Name,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1
Diesel,E08000001,      Bolton,62400,62800,62400,62600,63000,63100,63200,63400,63900,64100,63700,63700,63700,62900,63200,63500,63500,62500,62000,61600,61300,60700,60400,60000,59900,59200,58600,58200,57700,57100,56200,55100,54700,53900,52900
Diesel,E08000002,      Bury,41000,41200,41300,41500,41600,42000,42500,42800,43200,43500,43700,44000,44700,44800,46200,46700,47700,48100,48500,48800,49100,49300,49500,49300,48900,47600,46700,45100,44000,43100,42300,41300,41100,40400,39700
Diesel,E08000003,      Manchester,82300,82500,82300,82700,82800,82900,82900,83300,83200,83200,82300,81800,80300,78100,79100,79500,79300,78400,77700,77000,76700,75900,74800,74200,73800,72500,72000,71600,70500,68900,67500,66200,63700,62000,60500
Diesel,E08000004,      Oldham,46700,46900,47100,47100,47200,47200,47100,47100,47500,47500,47100,47000,46700,46000,46200,46500,46300,46000,45800,45300,45100,44600,44200,43700,43700,43100,42600,42200,41800,41200,40700,40000,39500,39000,38400
Diesel,E08000005,      Rochdale,49000,49000,48900,49000,49100,49200,49300,49500,49700,49900,49300,49100,49100,48100,48500,48300,48300,47900,47400,46900,46600,46200,45700,45300,45100,44700,44300,43700,43300,42700,42000,41100,40800,40000,39300
Diesel,E08000006,      Salford,46300,46500,46600,46800,46800,47000,47700,48000,47900,47900,47000,46700,46800,46000,46200,46400,46300,46000,45800,45100,44900,44600,44400,43900,43900,43200,42700,41900,41400,40800,40100,39200,38600,37800,37100
Diesel,E08000007,      Stockport,147300,150500,156800,164200,171600,178700,185800,193200,200900,210200,221700,236000,256100,63600,64400,64900,65200,64900,64800,64400,64700,64500,64200,64100,64100,63600,63300,62700,62500,61700,61000,60200,60000,59200,58300
Diesel,E08000008,      Tameside,46000,46200,46300,46400,46500,46500,46700,46900,47100,47200,54300,54600,54800,54300,55500,56000,56100,56100,55900,55900,55600,55200,54900,54900,54700,54100,53600,53700,53300,52700,52200,51800,51300,50600,49900
Diesel,E08000009,      Trafford,50000,50500,50800,51500,51900,52000,51900,52400,52800,52800,52600,52800,53400,53300,54200,54800,54600,54300,54500,54700,54500,54300,54200,54300,54100,53800,53500,53600,53900,77700,77800,77000,77300,76300,75600
Diesel,E08000010,      Wigan,81100,80900,80700,80700,81000,81100,81100,81200,81700,81700,80400,80300,80800,79300,79800,79900,79800,78900,78100,77500,77300,76300,75500,74900,74700,73800,73000,72300,71800,70900,69800,68400,67800,66700,65600
Hybrid electric (petrol),E08000001,      Bolton,8600,8000,7400,6900,6500,6100,5600,5300,5000,4700,4300,4000,3800,3500,3500,3400,3200,3000,2900,2800,2600,2500,2400,2200,2100,1900,1800,1700,1600,1400,1300,1200,1100,1000,900
Hybrid electric (petrol),E08000002,      Bury,8200,7700,7100,6200,5700,5300,4800,4200,4100,4000,3700,3400,3200,2800,2700,2400,2200,2200,2200,2000,1900,1800,1600,1600,1500,1400,1400,1300,1300,1200,1200,1100,1100,1000,1000
Hybrid electric (petrol),E08000003,      Manchester,9700,8900,8300,7600,7100,6400,5700,5100,4900,4400,4000,3700,3500,3100,3100,2900,2800,2600,2400,2300,2100,1900,1800,1700,1600,1500,1400,1300,1200,1100,1000,1000,900,800,800
Hybrid electric (petrol),E08000004,      Oldham,4700,4200,3800,3500,3200,2900,2600,2300,2200,2000,1800,1700,1600,1400,1400,1300,1200,1200,1100,1000,1000,900,900,800,700,700,600,600,600,500,500,400,400,400,400
Hybrid electric (petrol),E08000005,      Rochdale,5000,4600,4300,3900,3700,3400,3100,2800,2600,2500,2200,2100,2000,1800,1800,1700,1600,1500,1400,1300,1200,1100,1000,1000,900,800,800,700,700,600,600,500,500,500,500
Hybrid electric (petrol),E08000006,      Salford,4200,3800,3600,3200,3000,2700,2500,2200,2100,1900,1700,1600,1500,1400,1400,1300,1300,1200,1200,1100,1000,1000,900,900,900,800,700,700,700,600,600,600,500,500,500
Hybrid electric (petrol),E08000007,      Stockport,21500,20900,20200,19200,18200,17300,16200,15500,15000,14400,13900,12900,11900,2600,2600,2500,2400,2300,2200,2100,2100,1900,1800,1700,1600,1500,1500,1400,1300,1300,1200,1100,1100,1000,1000
Hybrid electric (petrol),E08000008,      Tameside,4300,3900,3600,3300,3100,2800,2500,2200,2100,1900,1700,1600,1500,1300,1300,1200,1200,1100,1100,1000,1000,900,800,800,700,700,600,600,600,500,500,500,400,400,400
