Year,Diesel,Hybrid Electric,Other Fuels,Petrol
2015 Q1,65600,500,600,102200
2015 Q2,66700,600,600,102700
2015 Q3,67800,600,700,102200
2015 Q4,68400,600,700,100900
2016 Q1,69800,700,700,100800
2016 Q2,70900,700,700,100900
2016 Q3,71800,800,700,100700
2016 Q4,72300,800,700,99800
2017 Q1,73000,900,800,99700
2017 Q2,73800,900,800,100200
2017 Q3,74700,1000,800,100100
2017 Q4,74900,1000,800,98700
2018 Q1,75500,1100,800,98600
2018 Q2,76300,1200,800,99400
2018 Q3,77300,1300,900,99600
2018 Q4,77500,1300,900,98700
2019 Q1,78100,1400,900,99200
2019 Q2,78900,1500,900,99900
2019 Q3,79800,1600,900,100300
2019 Q4,79900,1700,1000,99500
2020 Q1,79800,1800,1000,99900
2020 Q2,79300,1800,1000,99100
2020 Q3,80800,2100,1200,100000
2020 Q4,80300,2200,1300,99000
2021 Q1,80400,2400,1400,98600
2021 Q2,81700,2700,1500,99700
2021 Q3,81700,2900,1700,99100
2021 Q4,81200,3000,1900,98400
2022 Q1,81100,3400,2200,98700
2022 Q2,81100,3800,2400,99500
2022 Q3,81000,4200,2600,99500
2022 Q4,80700,4500,2900,99000
2023 Q1,80700,4900,3100,99100
2023 Q2,80900,5300,3400,100100
2023 Q3,81100,5800,3800,100300
